Year,Billions of US $,% of GDP
2021,$455.91B,14.47
2020,$377.35B,14.12
2019,$381.55B,13.46
2018,$402.24B,14.88
2017,$398.20B,15.02
2016,$347.94B,15.16
2015,$327.82B,15.58
2014,$307.21B,15.07
2013,$283.21B,15.25
2012,$289.08B,15.82
2011,$294.23B,16.14
2010,$285.36B,17.03
2009,$230.05B,17.14
2008,$205.00B,17.1
2007,$205.20B,16.86
2006,$162.70B,17.3
2005,$131.04B,15.97
